Timestamp,In which language do you prefer to get your news? [TV/Video],In which language do you prefer to get your news? [Radio/Audio/Podcast],In which language do you prefer to get your news? [Print/Text],How do you **most frequently** get your news?,"Which specific news sources do you most frequently use? Please list them here. For example, Hartford Courant, Record Journal, FOX news, CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",How would you **prefer** to get your news?,"How much do you trust news that comes from... [National news organizations (such as CNN, Univision)]","How much do you trust news that comes from... [Local news organizations (such as the Record-Journal, Patch, the Hartford Courant, CT Mirror)]","How much do you trust news that comes from... [Social media (such as Facebook, Twitter, TikTok, YouTube, Instagram)]",How much do you trust news that comes from... [Family/friends/word of mouth],How much do you agree with the following statements? [I trust the sources of news I get about my community.],How much do you agree with the following statements? [The local news covers issues that are important to me.],"How much do you agree with the following statements? [The local news reflects my beliefs, values, and customs.]",What town do you live in?,Do you identify as Hispanic/Latino/Latinx?,Which country were you born in?,What is your age range?,What is your gender identity?,What language do you speak at home?,Do any of the following describe you?,"Do you have access to a laptop or computer at home, or an internet-enabled device like a smartphone or iPad?",Do you have internet access at home?,Are you registered to vote?,Is there anything else you would like to let us know?
2022/08/07 3:01:31 PM AST,English,Both English and Spanish,English,News apps,New York Times new haven register ,News apps,Some,Some,Not at all,Not at all,Neutral,Agree,Disagree,Wallingford,Yes,Mexico,30-39,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,None
2022/08/07 3:22:08 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,TV,CNN Telemundo Facebook ,Social media,A lot,Some,Some,Some,Agree,Agree,Neutral,New Haven,Yes,United states,18-29,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,N/a
2022/08/07 3:23:27 PM AST,English,English,English,Social media,Fox news,TV,A lot,A lot,A lot,A lot,Neutral,Neutral,Neutral,,Yes,New york,40-49,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,
2022/08/07 3:35:06 PM AST,English,,,TV,,TV,Not at all,Not at all,Not at all,Not at all,Disagree,Disagree,Disagree,Meriden,No,,50-59,Man,English,I am a small business owner,No,No,No,
2022/08/07 4:04:21 PM AST,English,,,Social media,Univision noticias,TV,A lot,A lot,,A lot,Agree,Agree,Agree,New Britain ,Yes,Venezuela,50-59,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,
2022/08/07 4:37:32 PM AST,,,English,Social media,Facebook ,Text message,Some,Some,A lot,Some,Agree,Agree,Agree,Meriden,Yes,Meriden ct ,18-29,Woman,Both English and Spanish,I am a parent of a child under 18 years old,No,Yes,Yes,No
2022/08/07 4:39:42 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,TV,"Fox news, CNN, Facebook, telemundo.",TV,A lot,A lot,Not at all,A lot,Agree,Agree,Neutral,Meriden,Yes,Puerto Rico,70 or older,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,I appreciate you all reaching out to the community to see how we feel.
2022/08/07 4:43:04 PM AST,English,English,English,Social media,Facebook,Social media,Some,A lot,Some,Some,Agree,Neutral,Neutral,Meriden,No,United states,30-39,Man,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,No
2022/08/07 5:09:57 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,Cnn,Social media,A lot,A lot,Some,A lot,Agree,Agree,Agree,Waterbury ,Yes,Puerto rico,30-39,Woman,Both English and Spanish,I am a parent of a child under 18 years old,No,Yes,Prefer not to say,
2022/08/07 5:18:36 PM AST,English,,,Social media,"Patch, record journal",News apps,Some,Some,Not at all,Some,Neutral,Agree,Neutral,Wallingford,Prefer not to say,United States of America ,50-59,Woman,English,None of these,Yes,Yes,Yes,No
2022/08/07 5:20:11 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,Facebook ,Social media,Some,Some,Some,Some,Neutral,Neutral,Neutral,New Britain ,Yes,USA ,30-39,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,CT is getting to expensive 
2022/08/07 5:25:20 PM AST,English,English,English,Radio,Hartford courant and Fb ,Social media,Some,A lot,A lot,Some,Agree,Agree,Agree,Plainville ,Prefer not to say,US,18-29,Woman,English,I am a parent of a child under 18 years old;I am a student;I am a small business owner,Yes,Yes,Yes,
2022/08/07 6:03:59 PM AST,English,English,English,TV,CNN ,News apps,A lot,A lot,Some,,Agree,Agree,Neutral,Meriden,,USA ,50-59,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,
2022/08/07 7:00:25 PM AST,Both English and Spanish,Both English and Spanish,,Social media,"Npr, facebook, spotify",Social media,Some,Some,Some,Some,Agree,Agree,Agree,Meriden,Yes,PR,30-39,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,
2022/08/07 7:14:58 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,Record journal,Social media,Some,Some,Some,Some,Neutral,Neutral,Neutral,Meriden,Yes,Usa,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,No
2022/08/07 7:31:26 PM AST,English,English,English,News apps,Channel 8,News apps,A lot,A lot,Not at all,Some,Agree,Agree,Neutral,Meriden,Yes,US,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,
2022/08/07 7:47:18 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Email/newsletters,Hartford ,Email/newsletter,A lot,A lot,A lot,A lot,Agree,Agree,Agree,New Britain ,Yes,Dominican Republic ,40-49,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,No,
2022/08/07 8:04:30 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,News apps,Hartford,Email/newsletter,A lot,A lot,A lot,A lot,Agree,Agree,Agree,New Britain ,Yes,Dominican Republic ,50-59,Woman,Spanish,None of these,Yes,Yes,Yes,
2022/08/07 8:20:26 PM AST,English,English,English,TV,FOX News,TV,Some,Some,Some,Some,Agree,Agree,Neutral,Meriden,No,USA,40-49,Man,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,The festival was great
2022/08/07 8:26:02 PM AST,English,English,English,News apps,New breaks,News apps,Some,A lot,Not at all,Some,Neutral,Neutral,Neutral,Waterbury,Yes,United States ,18-29,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,
2022/08/07 8:29:47 PM AST,Both English and Spanish,Spanish,Both English and Spanish,Social media,"Facebook, Internet ",News apps,Some,A lot,Not at all,Not at all,Agree,Disagree,Disagree,Amsterdam,Yes,Puerto Rico,30-39,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,
2022/08/07 8:57:04 PM AST,English,,English,"Friends, social circles, or word of mouth",Telemundo ,TV,Some,A lot,Some,Some,Agree,Neutral,Neutral,Meriden,Yes,New York ,50-59,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,Prefer not to say,
2022/08/07 8:57:10 PM AST,English,,English,"Friends, social circles, or word of mouth",Telemundo ,TV,Some,A lot,Some,Some,Agree,Neutral,Neutral,Meriden,Yes,New York ,50-59,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,Prefer not to say,
2022/08/07 9:26:45 PM AST,,,English,Social media,"Facebook, Instagram, YouTube, google ",Social media,,,Some,Some,Neutral,Neutral,Neutral,Waterbury ,Yes,U.S ,18-29,Woman,Both English and Spanish,I am a student,Yes,Yes,Yes,
2022/08/07 9:32:32 PM AST,English,English,English,News apps,Cnn,TV,Some,Some,Some,Some,Neutral,Neutral,Neutral,Waterbury ,No,United States,40-49,Man,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,Have a great day 
2022/08/07 10:25:00 PM AST,Both English and Spanish,Both English and Spanish,Spanish,TV,Fox news,Text message,Some,Some,Some,Some,Neutral,Neutral,Neutral,Vernon,Yes,United States ,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,
2022/08/08 7:15:51 AM AST,Both English and Spanish,,,Newspapers,Telemundo ,Newspapers,Some,Some,Not at all,Not at all,Neutral,Neutral,Neutral,Meriden,Yes,New York ,50-59,Woman,Both English and Spanish,None of these,Yes,Yes,No,Más noticias en español 
2022/08/08 7:27:53 AM AST,English,,English,Online news website,"Record journal,wfsb,wtnh",Website,Some,A lot,Not at all,Not at all,Disagree,Agree,Neutral,Wallingford,Prefer not to say,Prefer not to say,30-39,Woman,English,None of these,Yes,Yes,No,Nope
2022/08/08 8:49:46 AM AST,English,English,English,News apps,CNN,News apps,,Some,,,,Agree,,Meriden,Yes,USA,50-59,Woman,English,None of these,Yes,Yes,Yes,No
2022/08/08 10:32:21 AM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,"Récord Journal, fox, channel 8 Facebook, Telemundo, hartford current",Social media,Some,A lot,Some,Some,Agree,Agree,Agree,Meriden,Yes,United States ,40-49,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,
