survey,id,regions_of_interest,topics_of_interest,special_stories,formats_used,open_text_media,formats_preferred,residence_town,place_of_birth,small_age_band,person_type,web_device,web_at_home,registered_voter,big_age_band,language,latino,gender,tv_video_language,radio_audio_language,print_language,trust_national_news,trust_local_news,trust_social_media_news,trust_news_from_social_circle,trust_sources_of_news_about_my_community,local_news_covers_issues_important_to_me,local_news_reflects_my_beliefs_values
English,2022/04/04 1:03:25 PM EST,Local;State,Local businesses;Health;Local events,Topics related to seniors;Topics related to community engagement,Radio,NA,Radio,All others,USA,50-59,Parent,Yes,Yes,Yes,age50_99,English,No,Woman,English,English,English,Some,A lot,Not at all,Some,Agree,Agree,Neutral
English,2022/04/04 3:09:30 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Local businesses;Education;Local events;Real estate and homeownership",Topics related to families with children;Topics related to seniors;Topics related to community engagement,Social media,"CNN, MSNBC",Social media,All others,USA,30-39,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,No,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Not at all,Some,Agree,Neutral,Neutral
English,2022/04/04 10:09:00 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Politics;Music, arts, and culture;Local events;Real estate and homeownership;Opportunities for community engagement;Travel and hospitality",Topics related to families with children;Topics related to seniors;Topics related to community engagement,Email/newsletter,"NPR,CNN",Email/newsletter,All others,USA,50-59,Parent,Yes,Yes,Yes,age50_99,English,Yes,Woman,English,English,English,A lot,A lot,Not at all,Some,Neutral,Neutral,Neutral
English,2022/04/05 9:58:03 AM EST,State;National;International,"Music, arts, and culture;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social circles,"Telemundo,Univision",Email/newsletter,All others,PUERTO RICO,30-39,Parent,Yes,Yes,Not sure,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Not at all,Not at all,Some,Some,Neutral,Neutral,Neutral
English,2022/04/11 12:17:29 PM EST,Local;State,"Music, arts, and culture;Local businesses;Education;Health;Diversity and social justice;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,Social media,NA,Social media,All others,USA,40-49,Parent,Yes,Yes,Yes,age30_49,English,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,A lot,A lot,A lot,Some,Neutral,Agree,NA
English,2022/04/11 12:52:18 PM EST,Local;State;National,"Politics;Music, arts, and culture;Health;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to seniors;Topics related to community engagement,TV,cnn,Email/newsletter,All others,USA,60-69,None of these,No,No,Yes,age50_99,English,No,Woman,English,English,English,A lot,Some,Not at all,Not at all,Agree,Agree,Agree
English,2022/04/12 1:12:06 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/04/12 1:24:53 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/04/23 11:30:38 AM EST,Local;State;Regional/New England/NYC Metro;National;International,Politics;Local events;Opportunities for community engagement;Diversity and social justice;Technology,Topics related to families with children;Topics related to small business owners;Topics related to community engagement,News apps/news websites,"Vox, PBS, DW, AP, VICE, WAPO",News apps/news websites,Wallingford,USA,30-39,Student,Yes,Yes,Yes,age30_49,English,Yes,Man,Spanish,Spanish,Spanish,Some,Some,Not at all,Not at all,Neutral,Neutral,Neutral
English,2022/04/23 2:16:37 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Health;Community resources (for example: assistance programs, small business resources, non-profits);Diversity and social justice;Technology",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,Newspapers,NA,Text message,Wallingford,USA,30-39,None of these,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,Not at all,Not at all,Neutral,Agree,Agree
English,2022/04/23 3:15:01 PM EST,Local;State,"Music, arts, and culture;Local businesses;Health;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to small business owners,News apps/news websites,Telemundo,Social media,Wallingford,USA,Under 18,Student,Yes,Yes,No,age00_29,Spanish,Yes,Woman,Both English and Spanish,I don't use this format,I don't use this format,A lot,Some,Some,Some,Agree,Neutral,Neutral
English,2022/04/23 3:15:38 PM EST,Local,"Politics;Music, arts, and culture;Health;Finance, wealth, and financial literacy;Technology",Topics related to small business owners;Topics related to community engagement,Social circles,Tiktok,Social media,Wallingford,USA,Under 18,Student,Yes,Yes,No,age00_29,English,Yes,Man,English,English,English,A lot,Some,A lot,Some,Neutral,Neutral,Neutral
English,2022/04/23 3:20:01 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Music, arts, and culture;Education;Local events",Topics related to families with children;Topics related to teens;Topics related to young adults,Social circles,Instagram,Social media,Wallingford,USA,Under 18,Student,Yes,Yes,No,age00_29,Both English and Spanish,Yes,Man,English,English,English,Some,Some,Not at all,Some,Neutral,Neutral,Agree
English,2022/04/23 3:28:06 PM EST,Local;State;National,"Politics;Local businesses;Education;Health;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Diversity and social justice;Environmental issues & climate change",Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Newspapers,Facebook,Newspapers,Meriden,USA,Under 18,Student,Yes,Yes,No,age00_29,Both English and Spanish,Yes,Woman,NA,NA,Both English and Spanish,Some,A lot,Not at all,Not at all,Agree,Agree,Neutral
English,2022/04/23 3:37:40 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Politics;Music, arts, and culture;Local businesses;Education;Local events",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,Record Journal,Email/newsletter,Wallingford,USA,18-29,None of these,Yes,Yes,Yes,NA,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,Some,Some,Agree,Agree,Agree
English,2022/04/28 5:37:51 PM EST,Local;National;International,Education;Health;Local events;Opportunities for community engagement;Environmental issues & climate change;Travel and hospitality,Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,CNN,Radio,All others,MEXICO,40-49,Student,Yes,Yes,No,age30_49,Spanish,Yes,Woman,English,Spanish,English,A lot,A lot,Some,Some,Agree,Agree,Agree
English,2022/04/29 4:54:46 PM EST,Local;State,"Sports;Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,TV,Fox,Newspapers,Meriden,MEXICO,18-29,Student,Yes,Yes,No,NA,Both English and Spanish,Yes,Woman,English,NA,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/04/29 5:21:56 PM EST,Local;National,"Music, arts, and culture;Local businesses;Education;Health;Finance, wealth, and financial literacy;Real estate and homeownership;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social circles,Record journal,News apps/news websites,Wallingford,USA,18-29,Parent,Yes,Yes,Yes,NA,Both English and Spanish,Yes,Woman,Spanish,NA,Spanish,Some,A lot,Some,A lot,Agree,Agree,Neutral
English,2022/05/03 1:40:17 PM EST,Local;State;Regional/New England/NYC Metro;National;International,Politics;Local businesses;Education;Local events;Environmental issues & climate change,Topics related to seniors;Topics related to small business owners,TV,NA,TV,Meriden,OTHER,60-69,None of these,Yes,Yes,Yes,age50_99,English,No,Man,English,English,English,A lot,Some,Not at all,Some,Neutral,Neutral,Neutral
English,2022/05/03 2:04:12 PM EST,Local;State,"Sports;Local businesses;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to community engagement,Social media,N/A,Social media,Wallingford,USA,30-39,None of these,Yes,Yes,Yes,age30_49,English,Opt out,Man,English,English,English,Not at all,Some,Some,Some,Neutral,Neutral,Disagree
English,2022/05/03 2:49:12 PM EST,Local;State;Regional/New England/NYC Metro,"Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Opportunities for community engagement;Diversity and social justice",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,Social media,"RJ, Facebook and Patch",Social media,Wallingford,USA,50-59,Parent,Yes,No,Yes,age50_99,Both English and Spanish,Yes,Woman,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/05/03 2:51:20 PM EST,Local;State,"Music, arts, and culture;Education;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to teens;Topics related to young adults;Topics related to community engagement,TV,"Record Journal, CNN, local stations",TV,Wallingford,USA,60-69,None of these,Yes,Yes,Yes,age50_99,English,No,Woman,English,I don't use this format,English,A lot,A lot,Some,Some,Agree,Agree,Neutral
English,2022/05/03 5:25:22 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/05/03 5:30:10 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/05/03 5:35:04 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/05/04 8:23:35 AM EST,Local;State;National;International,"Politics;Local events;Finance, wealth, and financial literacy;Opportunities for community engagement;Technology",Topics related to community engagement,Newspapers,"Record- Journal, MSNBC, New York Times print edition",Newspapers,Meriden,USA,70 or older,None of these,NA,Yes,Yes,age50_99,English,No,Man,NA,NA,NA,A lot,A lot,Not at all,Some,Agree,Neutral,Neutral
English,2022/05/04 9:34:08 AM EST,Local;State,"Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement;Diversity and social justice;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to young adults;Topics related to community engagement,Social media,"CNN, Record Journal, WTNH, WFSB, El Nuevo Día",Social media,Meriden,PUERTO RICO,40-49,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,A lot,A lot,Some,Some,Agree,Agree,Neutral
English,2022/05/05 5:02:59 PM EST,Local;State,"Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,Social circles,Fox,News apps/news websites,Meriden,USA,30-39,Parent,Yes,Yes,Yes,age30_49,English,No,Woman,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/05/05 5:03:56 PM EST,Local;State;Regional/New England/NYC Metro;National,"Music, arts, and culture;Local businesses;Education;Health;Local events;Real estate and homeownership;Diversity and social justice;Environmental issues & climate change;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,Social circles,"Fox, radio, NewsBreak, e news",TV,Meriden,USA,30-39,Parent,Yes,Yes,Yes,age30_49,English,Yes,Woman,English,English,English,A lot,A lot,Not at all,Some,Neutral,Agree,Neutral
English,2022/05/05 5:04:37 PM EST,Local;State;Regional/New England/NYC Metro,"Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Diversity and social justice;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to community engagement,Radio,Wfsb,Email/newsletter,Meriden,USA,50-59,Parent,Yes,Yes,Yes,age50_99,English,No,Woman,English,English,English,Some,A lot,Some,Not at all,Agree,Agree,Neutral
English,2022/05/05 5:06:57 PM EST,Local;Regional/New England/NYC Metro,"Music, arts, and culture;Education;Health;Local events;Finance, wealth, and financial literacy;Real estate and homeownership;Diversity and social justice",Topics related to families with children;Topics related to seniors;Topics related to community engagement,Newspapers,Record Journal,Email/newsletter,All others,PUERTO RICO,60-69,None of these,Yes,Yes,Yes,age50_99,Both English and Spanish,Yes,Woman,Both English and Spanish,NA,Both English and Spanish,A lot,A lot,Not at all,Some,Neutral,Neutral,Neutral
English,2022/05/05 5:08:09 PM EST,Local,Sports;Politics;Education;Health;Local events,Topics related to families with children;Topics related to young adults,Social media,Fox news,Text message,Meriden,PUERTO RICO,40-49,Parent,Yes,Yes,No,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,NA,Both English and Spanish,A lot,A lot,A lot,A lot,Agree,Agree,Agree
English,2022/05/05 5:23:01 PM EST,Local;State;Regional/New England/NYC Metro;National,"Sports;Politics;Music, arts, and culture;Local businesses;Health;Local events",Topics related to families with children;Topics related to teens;Topics related to small business owners,TV,Wtnh and nbd and Univison,News apps/news websites,Wallingford,USA,40-49,Parent,Yes,Yes,No,age30_49,Both English and Spanish,Yes,Woman,English,English,English,Some,A lot,Some,Some,Neutral,Agree,Neutral
English,2022/05/05 5:43:19 PM EST,International,"Music, arts, and culture;Education;Local events;Travel and hospitality",Topics related to families with children;Topics related to teens,TV,Facebook,Text message,Meriden,OTHER,30-39,Parent,Yes,Yes,No,age30_49,NA,No,Woman,English,English,English,Some,Some,Some,Some,Agree,Disagree,Agree
English,2022/05/05 6:19:56 PM EST,Local,"Local businesses;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Technology;Travel and hospitality",Topics related to families with children;Topics related to small business owners;Topics related to community engagement,News apps/news websites,"Fox News , Record-Journal",News apps/news websites,Meriden,OTHER,30-39,Parent,Yes,Yes,No,age30_49,NA,No,Man,English,English,English,Some,A lot,Not at all,Some,Agree,Agree,Agree
English,2022/05/05 7:59:21 PM EST,Local;State,"Sports;Local businesses;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Real estate and homeownership;Opportunities for community engagement;Technology",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,News apps/news websites,NBC CT news app,Email/newsletter,Meriden,USA,30-39,Parent,Yes,Yes,Prefer not to say,age30_49,Both English and Spanish,Yes,Woman,English,English,English,NA,A lot,Some,A lot,Neutral,Neutral,Neutral
English,2022/05/09 10:45:17 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Local businesses;Education;Local events;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Newspapers,RECORD JOURNAL,Newspapers,Meriden,USA,60-69,None of these,Yes,Yes,Yes,age50_99,English,No,Woman,English,English,English,A lot,A lot,Some,Some,Agree,Neutral,Neutral
English,2022/05/09 10:46:27 AM EST,Local;State,"Politics;Music, arts, and culture;Local businesses;Local events;Diversity and social justice;Environmental issues & climate change;Technology",Topics related to young adults,TV,"Record Journal, Cnn",TV,Meriden,USA,30-39,None of these,Yes,Yes,Yes,age30_49,English,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,A lot,A lot,Not at all,Some,Agree,Neutral,Neutral
English,2022/05/09 1:19:50 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/05/11 3:38:43 PM EST,Local;State;Regional/New England/NYC Metro;National;International,Local businesses;Education;Local events;Opportunities for community engagement;Diversity and social justice,Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Newspapers,Record-Journal,Newspapers,All others,USA,30-39,Parent,Yes,Yes,Yes,age30_49,English,No,Woman,English,English,English,Some,A lot,Some,Some,Agree,Agree,Agree
English,2022/05/14 4:06:48 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Local businesses;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Diversity and social justice;Environmental issues & climate change",Topics related to young adults;Topics related to community engagement,Social media,"Facebook, instagram",Social media,New Haven,USA,18-29,Student,Yes,Yes,Yes,NA,Spanish,Yes,Man,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,A lot,Some,Agree,Neutral,Neutral
English,2022/05/16 2:43:04 PM EST,Local,"Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Text message,Record journal,Text message,Meriden,USA,40-49,None of these,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,English,English,English,A lot,A lot,Not at all,Not at all,Agree,Agree,Neutral
English,2022/05/16 3:05:04 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/05/19 7:30:25 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Music, arts, and culture;Education;Local events;Diversity and social justice;Environmental issues & climate change;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,Text message,NA,Text message,All others,USA,30-39,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,A lot,A lot,Some,Some,Neutral,Neutral,Neutral
English,2022/05/19 2:33:48 PM EST,Local;State;Regional/New England/NYC Metro,"Music, arts, and culture;Local businesses;Education;Opportunities for community engagement;Diversity and social justice",Topics related to families with children;Topics related to small business owners;Topics related to community engagement,Social media,"Telemundo, Channel 8 news, ABC news, Record Journal",Newspapers,Meriden,PUERTO RICO,50-59,Parent,Yes,Yes,Yes,age50_99,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,Some,Some,Agree,Neutral,Agree
English,2022/05/19 8:47:41 PM EST,Local;State;National,"Sports;Music, arts, and culture;Local businesses;Local events;Real estate and homeownership",Topics related to families with children,Radio,NPR,Radio,Meriden,OTHER,30-39,None of these,Yes,Yes,Yes,age30_49,Both English and Spanish,No,Woman,Both English and Spanish,English,Both English and Spanish,Some,A lot,Not at all,Some,Neutral,Disagree,Neutral
English,2022/05/24 5:14:19 AM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/05/24 5:14:36 AM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/06/03 10:13:54 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,"CNN, Facebook, Instagram, Telemundo",Social media,Meriden,ECUADOR,18-29,Student,Yes,Yes,No,NA,Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,A lot,A lot,Some,Some,Agree,Agree,Neutral
English,2022/06/04 9:26:11 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Technology;Travel and hospitality;Food",Topics related to seniors;Topics related to small business owners,Email/newsletter,"Facebook, Fox News",Social media,All others,USA,50-59,None of these,Yes,Yes,Yes,age50_99,Both English and Spanish,Yes,Woman,English,English,English,A lot,A lot,Some,Not at all,Agree,Neutral,Agree
English,2022/06/04 10:05:45 AM EST,International,"Sports;Music, arts, and culture;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Food",Topics related to families with children;Topics related to teens;Topics related to young adults,TV,Fox,TV,Meriden,USA,18-29,Student,Yes,Yes,Yes,NA,English,No,Woman,Both English and Spanish,English,English,Some,Some,A lot,Some,Agree,Neutral,Agree
English,2022/06/04 10:10:24 AM EST,Local;Regional/New England/NYC Metro;National;International,"Sports;Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to young adults,TV,Eye witness news,Text message,Meriden,USA,18-29,Student,Yes,Yes,Not sure,NA,English,No,Transgender & NB,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Agree
English,2022/06/04 10:35:55 AM EST,Local,Sports;Local businesses;Environmental issues & climate change,Topics related to families with children,TV,Fox News,Text message,Meriden,USA,50-59,None of these,No,No,No,age50_99,English,Yes,Man,English,English,English,Some,Not at all,Not at all,A lot,Neutral,Agree,Agree
English,2022/06/04 11:11:39 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Local businesses;Education;Health;Local events",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,newspaper,TV,Meriden,USA,50-59,Parent,Yes,Yes,Yes,age50_99,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,A lot,Not at all,Not at all,Not at all,Agree,Agree,Neutral
