Timestamp,Are you interested in news at the following geographical levels? Select all that apply.,Which of these topics interest you most? Select up to five.,Do any of these special stories interest you? Select all that apply.,"Are there any specific stories you would like to see more of in local news? For example, investigative articles, business profiles, opinion columns, cartoons, etc.",In which language do you prefer to get your news? [TV/Video],In which language do you prefer to get your news? [Radio/Audio/Podcast],In which language do you prefer to get your news? [Print/Text],How do you **most frequently** get your news?,"Which specific news sources do you most frequently use? Please list them here. For example, Hartford Courant, Record Journal, FOX news, CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",How would you **prefer** to get your news?,"How much do you trust news that comes from... [National news organizations (such as CNN, Univision)]","How much do you trust news that comes from... [Local news organizations (such as the Record-Journal, Patch, the Hartford Courant, CT Mirror)]","How much do you trust news that comes from... [Social media (such as Facebook, Twitter, TikTok, YouTube, Instagram)]",How much do you trust news that comes from... [Family/friends/word of mouth],How much do you agree with the following statements? [I trust the sources of news I get about my community.],How much do you agree with the following statements? [The local news covers issues that are important to me.],"How much do you agree with the following statements? [The local news reflects my beliefs, values, and customs.]",What town do you live in?,Do you identify as Hispanic/Latino/Latinx?,Which country were you born in?,What is your age range?,What is your gender identity?,What language do you speak at home?,Do any of the following describe you?,"Do you have access to a laptop or computer at home, or an internet-enabled device like a smartphone or iPad?",Do you have internet access at home?,Are you registered to vote?,"If you'd like to receive a digital coupon to CTown Supermarket for completing the survey, please provide your email address below. The coupon is valid for $5 off of a purchase of $50 or more.","If you entered your email above, would you also like to receive the Record-Journal Latino Communities Reporting Lab email newsletter?",Are you interested in being contacted to participate in a focus group so we can better understand your answers to the questions in this survey?,Is there anything else you would like to let us know?
2022/04/23 2:16:37 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Health;Community resources (for example: assistance programs, small business resources, non-profits);Diversity and social justice;Technology",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,NA,Both English and Spanish,Both English and Spanish,Both English and Spanish,Newspapers,NA,Text message,Some,A lot,Not at all,Not at all,Neutral,Agree,Agree,Wallingford,Yes,USA,30-39,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,NOT PROVIDED,NA,NA,NA
2022/04/23 3:15:01 PM EST,Local;State,"Music, arts, and culture;Local businesses;Health;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to small business owners,NA,Both English and Spanish,I don't use this format,I don't use this format,News apps,Telemundo,Social media,A lot,Some,Some,Some,Agree,Neutral,Neutral,Wallingford,Yes,US,Under 18,Woman,Spanish,I am a student,Yes,Yes,No,REMOVED,Yes,NA,NA
2022/04/23 3:15:38 PM EST,Local,"Politics;Music, arts, and culture;Health;Finance, wealth, and financial literacy;Technology",Topics related to small business owners;Topics related to community engagement,Not really,English,English,English,"Friends, social circles, or word of mouth",Tiktok,Social media,A lot,Some,A lot,Some,Neutral,Neutral,Neutral,Wallingford,Yes,US,Under 18,Man,English,I am a student,Yes,Yes,No,REMOVED,No,NA,No
2022/04/23 3:20:01 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Music, arts, and culture;Education;Local events",Topics related to families with children;Topics related to teens;Topics related to young adults,Sports,English,English,English,"Friends, social circles, or word of mouth",Instagram,Social media,Some,Some,Not at all,Some,Neutral,Neutral,Agree,Wallingford,Yes,United States,Under 18,Man,Both English and Spanish,I am a student,Yes,Yes,No,NOT PROVIDED,No,NA,No
2022/04/23 3:28:06 PM EST,Local;State;National,"Politics;Local businesses;Education;Health;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Diversity and social justice;Environmental issues & climate change",Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,I would like to her more about what’s going on in the word.,NA,NA,Both English and Spanish,Newspapers,Facebook,Newspapers,Some,A lot,Not at all,Not at all,Agree,Agree,Neutral,Meriden,Yes,"Meriden , ct",Under 18,Woman,Both English and Spanish,I am a student,Yes,Yes,No,REMOVED,Yes,NA,No
2022/04/23 3:37:40 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Politics;Music, arts, and culture;Local businesses;Education;Local events",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,NA,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,Record Journal,Email/newsletter,Some,A lot,Some,Some,Agree,Agree,Agree,Wallingford,Yes,USA,18-29,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,NOT PROVIDED,Yes,NA,NA
2022/04/28 5:37:51 PM EST,Local;National;International,Education;Health;Local events;Opportunities for community engagement;Environmental issues & climate change;Travel and hospitality,Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,NA,English,Spanish,English,TV,CNN,Radio,A lot,A lot,Some,Some,Agree,Agree,Agree,Chester,Yes,Mexico,40-49,Woman,Spanish,I am a parent of a child under 18 years old;I am a student,Yes,Yes,No,NOT PROVIDED,NA,NA,NA
2022/04/29 4:54:46 PM EST,Local;State,"Sports;Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,NA,English,NA,English,TV,Fox,Newspapers,Some,Some,Some,Some,Neutral,Neutral,Neutral,Meriden,Yes,Mexico,18-29,Woman,Both English and Spanish,I am a student,Yes,Yes,No,NOT PROVIDED,Yes,NA,NA
2022/04/29 5:21:56 PM EST,Local;National,"Music, arts, and culture;Local businesses;Education;Health;Finance, wealth, and financial literacy;Real estate and homeownership;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Business profiles,Spanish,NA,Spanish,"Friends, social circles, or word of mouth",Record journal,News apps,Some,A lot,Some,A lot,Agree,Agree,Neutral,Wallingford,Yes,USA,18-29,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,Yes,NA,NA
2022/05/03 1:40:17 PM EST,Local;State;Regional/New England/NYC Metro;National;International,Politics;Local businesses;Education;Local events;Environmental issues & climate change,Topics related to seniors;Topics related to small business owners,NA,English,English,English,TV,NA,TV,A lot,Some,Not at all,Some,Neutral,Neutral,Neutral,Meriden,No,NA,60-69,Man,English,None of these,Yes,Yes,Yes,NOT PROVIDED,NA,NA,NA
